Gene A,Gene B,Phenotype
SPAC1002.05C,SPAC1142.08,1
SPAC1002.05C,SPAC12B10.03,1
SPAC1002.05C,SPAC12B10.05,1
SPAC1002.05C,SPAC12B10.09,1
SPAC1002.05C,SPAC12B10.10,1
SPAC1002.05C,SPAC14C4.05C,1
SPAC1002.05C,SPAC14C4.11,1
SPAC1002.05C,SPAC1687.22C,0
SPAC1002.05C,SPAC16C9.05,1
SPAC1002.05C,SPAC1782.01,1
SPAC1002.05C,SPAC17G8.10C,0
SPAC1002.05C,SPAC18G6.02C,0
SPAC1002.05C,SPAC1952.07,1
SPAC1002.05C,SPAC19B12.08,0
SPAC1002.05C,SPAC19D5.02C,0
SPAC1002.05C,SPAC19E9.02,0
SPAC1002.05C,SPAC1D4.09C,1
SPAC1002.05C,SPAC1F7.10,1
SPAC1002.05C,SPAC1F8.03C,1
SPAC1002.05C,SPAC20G4.02C,1
SPAC1002.05C,SPAC227.18,1
SPAC1002.05C,SPAC22H10.03C,0
SPAC1002.05C,SPAC23A1.06C,1
SPAC1002.05C,SPAC23A1.19C,0
SPAC1002.05C,SPAC23G3.04,0
SPAC1002.05C,SPAC23H3.05C,0
SPAC1002.05C,SPAC23H3.11C,0
SPAC1002.05C,SPAC24B11.12C,1
SPAC1002.05C,SPAC24C9.12C,0
SPAC1002.05C,SPAC24C9.14,1
SPAC1002.05C,SPAC26F1.10C,1
SPAC1002.05C,SPAC2C4.07C,1
SPAC1002.05C,SPAC2C4.09,1
SPAC1002.05C,SPAC2E1P3.02C,0
SPAC1002.05C,SPAC2F3.08,1
SPAC1002.05C,SPAC2F3.11,1
SPAC1002.05C,SPAC2F7.03C,0
SPAC1002.05C,SPAC2H10.01,0
SPAC1002.05C,SPAC31A2.15C,1
SPAC1002.05C,SPAC323.03C,1
SPAC1002.05C,SPAC328.04,0
SPAC1002.05C,SPAC328.05,1
SPAC1002.05C,SPAC3F10.02C,0
SPAC1002.05C,SPAC3F10.05C,1
SPAC1002.05C,SPAC3F10.09,1
SPAC1002.05C,SPAC3F10.15C,0
SPAC1002.05C,SPAC4A8.06C,1
SPAC1002.05C,SPAC4A8.10,0
SPAC1002.05C,SPAC4D7.03,1
SPAC1002.05C,SPAC4G8.05,1
SPAC1002.05C,SPAC4G8.10,0
SPAC1002.05C,SPAC4G8.11C,0
SPAC1002.05C,SPAC4G9.10,0
SPAC1002.05C,SPAC4G9.12,0
SPAC1002.05C,SPAC4G9.14,0
SPAC1002.05C,SPAC4G9.20C,0
SPAC1002.05C,SPAC56F8.14C,0
SPAC1002.05C,SPAC57A10.06,0
SPAC1002.05C,SPAC57A10.10C,0
SPAC1002.05C,SPAC630.10,0
SPAC1002.05C,SPAC644.09,0
SPAC1002.05C,SPAC688.14,1
SPAC1002.05C,SPAC694.04C,1
SPAC1002.05C,SPAC6F6.01,0
SPAC1002.05C,SPAC6F6.04C,1
SPAC1002.05C,SPAC6G10.08,1
SPAC1002.05C,SPAC6G9.01C,1
SPAC1002.05C,SPAC6G9.15C,1
SPAC1002.05C,SPAC7D4.13C,1
SPAC1002.05C,SPAC806.07,1
SPAC1002.05C,SPAC869.11,1
SPAC1002.05C,SPAC8C9.16C,0
SPAC1002.05C,SPAC8F11.02C,1
SPAC1002.05C,SPAC8F11.05C,1
SPAC1002.05C,SPAPB24D3.09C,1
SPAC1002.05C,SPAPB2C8.01,1
SPAC1002.05C,SPAPB8E5.05,1
SPAC1002.05C,SPBC1105.02C,1
SPAC1002.05C,SPBC1105.10,0
SPAC1002.05C,SPBC1105.11C,1
SPAC1002.05C,SPBC1198.03C,1
SPAC1002.05C,SPBC1198.09,0
SPAC1002.05C,SPBC1271.14,1
SPAC1002.05C,SPBC1289.06C,1
SPAC1002.05C,SPBC12C2.02C,0
SPAC1002.05C,SPBC1347.11,0
SPAC1002.05C,SPBC13G1.08C,1
SPAC1002.05C,SPBC16A3.10,1
SPAC1002.05C,SPBC16A3.13,1
SPAC1002.05C,SPBC16E9.14C,0
SPAC1002.05C,SPBC1709.09,1
SPAC1002.05C,SPBC1773.01,0
SPAC1002.05C,SPBC18H10.11C,0
SPAC1002.05C,SPBC18H10.16,1
SPAC1002.05C,SPBC215.02,1
SPAC1002.05C,SPBC215.05,0
SPAC1002.05C,SPBC215.07C,1
SPAC1002.05C,SPBC21D10.10,1
SPAC1002.05C,SPBC21H7.07C,1
SPAC1002.05C,SPBC23E6.03C,1
SPAC1002.05C,SPBC25B2.03,1
SPAC1002.05C,SPBC25B2.10,1
SPAC1002.05C,SPBC25H2.14,1
SPAC1002.05C,SPBC27.05,1
SPAC1002.05C,SPBC28E12.04,1
SPAC1002.05C,SPBC28F2.02,1
SPAC1002.05C,SPBC2A9.11C,1
SPAC1002.05C,SPBC2D10.06,1
SPAC1002.05C,SPBC2G5.06C,0
SPAC1002.05C,SPBC30B4.06C,0
SPAC1002.05C,SPBC30D10.14,1
SPAC1002.05C,SPBC31A8.01C,1
SPAC1002.05C,SPBC32H8.06,1
SPAC1002.05C,SPBC336.05C,1
SPAC1002.05C,SPBC337.03,1
SPAC1002.05C,SPBC337.11,0
SPAC1002.05C,SPBC342.01C,1
SPAC1002.05C,SPBC354.04,0
SPAC1002.05C,SPBC365.01,1
SPAC1002.05C,SPBC36B7.03,1
SPAC1002.05C,SPBC3E7.07C,1
SPAC1002.05C,SPBC3E7.08C,1
SPAC1002.05C,SPBC3H7.11,1
SPAC1002.05C,SPBC3H7.12,0
SPAC1002.05C,SPBC4F6.04,1
SPAC1002.05C,SPBC4F6.10,0
SPAC1002.05C,SPBC530.01,1
SPAC1002.05C,SPBC530.04,1
SPAC1002.05C,SPBC56F2.08C,1
SPAC1002.05C,SPBC725.14,1
SPAC1002.05C,SPBC800.07C,1
SPAC1002.05C,SPBC839.02,1
SPAC1002.05C,SPBC887.04C,1
SPAC1002.05C,SPBC947.05C,1
SPAC1002.05C,SPBC947.09,0
SPAC1002.05C,SPBP35G2.03C,1
SPAC1002.05C,SPBP35G2.04C,1
SPAC1002.05C,SPBP4G3.03,1
SPAC1002.05C,SPBP8B7.10C,1
SPAC1002.05C,SPBP8B7.26,1
SPAC1002.05C,SPBPB10D8.05C,1
SPAC1002.05C,SPBPB10D8.06C,1
SPAC1002.05C,SPBPB2B2.19C,1
SPAC1002.05C,SPBPJ4664.03,1
SPAC1002.05C,SPCC1020.12C,1
SPAC1002.05C,SPCC1183.11,1
SPAC1002.05C,SPCC1223.12C,1
SPAC1002.05C,SPCC1259.14C,1
SPAC1002.05C,SPCC126.12,1
SPAC1002.05C,SPCC1281.07C,1
SPAC1002.05C,SPCC1281.08,1
SPAC1002.05C,SPCC1322.06,1
SPAC1002.05C,SPCC13B11.03C,1
SPAC1002.05C,SPCC1442.07C,1
SPAC1002.05C,SPCC1494.10,1
SPAC1002.05C,SPCC162.06C,0
SPAC1002.05C,SPCC1682.15,0
SPAC1002.05C,SPCC16C4.01,1
SPAC1002.05C,SPCC1739.06C,1
SPAC1002.05C,SPCC1795.01C,1
SPAC1002.05C,SPCC18B5.02C,1
SPAC1002.05C,SPCC24B10.16C,1
SPAC1002.05C,SPCC285.13C,1
SPAC1002.05C,SPCC285.14,1
SPAC1002.05C,SPCC306.10,1
SPAC1002.05C,SPCC320.14,1
SPAC1002.05C,SPCC330.03C,1
SPAC1002.05C,SPCC417.11C,1
SPAC1002.05C,SPCC4B3.03C,1
SPAC1002.05C,SPCC4G3.04C,0
SPAC1002.05C,SPCC4G3.19,1
SPAC1002.05C,SPCC550.07,1
SPAC1002.05C,SPCC550.11,1
SPAC1002.05C,SPCC584.15C,1
SPAC1002.05C,SPCC594.07C,1
SPAC1002.05C,SPCC613.01,1
SPAC1002.05C,SPCC622.03C,1
SPAC1002.05C,SPCC70.03C,1
SPAC1002.05C,SPCC70.08C,1
SPAC1002.05C,SPCC70.10,1
SPAC1002.05C,SPCC736.09C,1
SPAC1002.05C,SPCC895.09C,1
SPAC1002.05C,SPCC970.07C,0
SPAC1039.05C,SPAC1006.06,0
SPAC1039.05C,SPAC15A10.06,0
SPAC1039.05C,SPAC1805.06C,1
SPAC1039.05C,SPAC18G6.15,1
SPAC1039.05C,SPAC212.04C,0
SPAC1039.05C,SPAC227.05,1
SPAC1039.05C,SPAC26H5.07C,0
SPAC1039.05C,SPAC2F7.03C,1
SPAC1039.05C,SPAC323.03C,0
SPAC1039.05C,SPAC328.04,1
SPAC1039.05C,SPAC3F10.13,0
SPAC1039.05C,SPAC4A8.06C,0
SPAC1039.05C,SPAC4A8.10,1
SPAC1039.05C,SPAC664.01C,1
SPAC1039.05C,SPAC824.09C,1
SPAC1039.05C,SPAC9.10,0
SPAC1039.05C,SPBC115.03,1
SPAC1039.05C,SPBC1198.11C,1
SPAC1039.05C,SPBC13E7.03C,1
SPAC1039.05C,SPBC16E9.14C,1
SPAC1039.05C,SPBC18H10.11C,0
SPAC1039.05C,SPBC2D10.06,1
SPAC1039.05C,SPBC32H8.07,0
SPAC1039.05C,SPBC337.03,1
SPAC1039.05C,SPBC3E7.12C,1
SPAC1039.05C,SPBC3H7.09,1
SPAC1039.05C,SPBC428.08C,1
SPAC1039.05C,SPBC646.13,1
SPAC1039.05C,SPBC800.07C,0
SPAC1039.05C,SPBC887.04C,1
SPAC1039.05C,SPCC1020.12C,0
SPAC1039.05C,SPCC1494.10,1
SPAC1039.05C,SPCC16C4.10,1
SPAC1039.05C,SPCC1739.10,1
SPAC1039.05C,SPCC24B10.12,1
SPAC1039.05C,SPCC417.07C,1
SPAC1039.05C,SPCC736.02,1
SPAC1039.05C,SPCC794.01C,1
SPAC1071.12C,SPAC1002.02,1
SPAC1071.12C,SPAC1002.06C,1
SPAC1071.12C,SPAC1093.02,1
SPAC1071.12C,SPAC10F6.08C,1
SPAC1071.12C,SPAC1142.06,1
SPAC1071.12C,SPAC11D3.15,0
SPAC1071.12C,SPAC12B10.03,1
SPAC1071.12C,SPAC13G7.04C,1
SPAC1071.12C,SPAC140.03,0
SPAC1071.12C,SPAC14C4.08,1
SPAC1071.12C,SPAC167.04,1
SPAC1071.12C,SPAC16C9.05,1
SPAC1071.12C,SPAC1D4.02C,0
SPAC1071.12C,SPAC1F3.05,1
SPAC1071.12C,SPAC20G4.08,1
SPAC1071.12C,SPAC20G8.07C,1
SPAC1071.12C,SPAC22H12.01C,1
SPAC1071.12C,SPAC23A1.17,0
SPAC1071.12C,SPAC23G3.07C,1
SPAC1071.12C,SPAC24B11.05,1
SPAC1071.12C,SPAC24B11.08C,1
SPAC1071.12C,SPAC26H5.05,0
SPAC1071.12C,SPAC29A4.05,0
SPAC1071.12C,SPAC2C4.15C,1
SPAC1071.12C,SPAC3C7.03C,1
SPAC1071.12C,SPAC56E4.06C,1
SPAC1071.12C,SPAC630.05,1
SPAC1071.12C,SPAC806.08C,1
SPAC1071.12C,SPAC824.04,1
SPAC1071.12C,SPAC8C9.09C,1
SPAC1071.12C,SPAC9.13C,1
SPAC1071.12C,SPAPB8E5.05,1
SPAC1071.12C,SPBC11B10.05C,1
SPAC1071.12C,SPBC11G11.01,1
SPAC1071.12C,SPBC15C4.04C,1
SPAC1071.12C,SPBC1604.20C,1
SPAC1071.12C,SPBC1685.14C,1
SPAC1071.12C,SPBC1773.16C,0
SPAC1071.12C,SPBC19C7.10,1
SPAC1071.12C,SPBC215.01,1
SPAC1071.12C,SPBC215.02,1
SPAC1071.12C,SPBC216.04C,1
SPAC1071.12C,SPBC26H8.09C,1
SPAC1071.12C,SPBC28E12.02,1
SPAC1071.12C,SPBC28E12.04,0
SPAC1071.12C,SPBC2D10.14C,1
SPAC1071.12C,SPBC31F10.12,1
SPAC1071.12C,SPBC337.04,1
SPAC1071.12C,SPBC354.12,1
SPAC1071.12C,SPBC3H7.10,1
SPAC1071.12C,SPBC530.01,1
SPAC1071.12C,SPBC543.07,1
SPAC1071.12C,SPBC839.07,1
SPAC1071.12C,SPCC126.11C,1
SPAC1071.12C,SPCC1450.12,1
SPAC1071.12C,SPCC162.02C,1
SPAC1071.12C,SPCC1620.12C,1
SPAC1071.12C,SPCC1739.10,1
SPAC1071.12C,SPCC1840.08C,1
SPAC1071.12C,SPCC24B10.17,1
SPAC1071.12C,SPCC417.04,1
SPAC1071.12C,SPCC550.11,1
SPAC1071.12C,SPCC553.08C,1
SPAC1071.12C,SPCC576.01C,1
SPAC1071.12C,SPCC584.11C,0
SPAC1071.12C,SPCC594.04C,1
SPAC1071.12C,SPCC622.12C,1
SPAC1093.03,SPAC13G6.10C,1
SPAC1093.03,SPAC17A5.02C,1
SPAC1093.03,SPAC17G6.05C,0
SPAC1093.03,SPAC17H9.08,0
SPAC1093.03,SPAC17H9.13C,0
SPAC1093.03,SPAC17H9.14C,0
SPAC1093.03,SPAC18B11.10,0
SPAC1093.03,SPAC19G12.03,0
SPAC1093.03,SPAC19G12.15C,0
SPAC1093.03,SPAC23A1.06C,0
SPAC1093.03,SPAC23H3.05C,0
SPAC1093.03,SPAC26F1.08C,0
SPAC1093.03,SPAC2F7.03C,0
SPAC1093.03,SPAC3G6.13C,0
SPAC1093.03,SPAC3H5.08C,1
SPAC1093.03,SPAC56F8.14C,1
SPAC1093.03,SPAC6B12.06C,0
SPAC1093.03,SPAC6F12.03C,0
SPAC1093.03,SPAC6G10.08,1
SPAC1093.03,SPAC767.01C,0
SPAC1093.03,SPAC823.13C,0
SPAC1093.03,SPAC8E11.06,0
SPAC1093.03,SPAC9.02C,0
SPAC1093.03,SPAC9.12C,1
SPAC1093.03,SPAC977.02,0
SPAC1093.03,SPAPB1E7.11C,0
SPAC1093.03,SPAPJ695.01C,0
SPAC1093.03,SPBC106.01,0
SPAC1093.03,SPBC1198.09,0
SPAC1093.03,SPBC13G1.08C,0
SPAC1093.03,SPBC16H5.12C,0
SPAC1093.03,SPBC18H10.11C,0
SPAC1093.03,SPBC1921.03C,0
SPAC1093.03,SPBC215.03C,0
SPAC1093.03,SPBC27.06C,1
SPAC1093.03,SPBC28E12.04,1
SPAC1093.03,SPBC2G2.13C,0
SPAC1093.03,SPBC2G5.06C,0
SPAC1093.03,SPBC342.01C,0
SPAC1093.03,SPBC36.10,0
SPAC1093.03,SPBC36B7.05C,0
SPAC1093.03,SPBC3E7.08C,0
SPAC1093.03,SPBC4F6.10,0
SPAC1093.03,SPBC56F2.08C,0
SPAC1093.03,SPBC839.06,1
SPAC1093.03,SPBC947.01,0
SPAC1093.03,SPBP19A11.02C,0
SPAC1093.03,SPBP26C9.02C,0
SPAC1093.03,SPBP8B7.30C,0
SPAC1093.03,SPBPB10D8.01,1
SPAC1093.03,SPBPB10D8.04C,0
SPAC1093.03,SPBPB10D8.06C,1
SPAC1093.03,SPBPJ4664.05,0
SPAC1093.03,SPCC1393.02C,1
SPAC1093.03,SPCC1442.11C,0
SPAC1093.03,SPCC1450.05C,0
SPAC1093.03,SPCC1450.06C,0
SPAC1093.03,SPCC1840.04,1
SPAC1093.03,SPCC1840.09,0
SPAC1093.03,SPCC306.11,0
SPAC1093.03,SPCC417.12,0
SPAC1093.03,SPCC970.07C,0
SPAC1093.03,SPCP20C8.02C,0
SPAC10F6.02C,SPAC11E3.08C,0
SPAC10F6.02C,SPAC16A10.05C,1
SPAC10F6.02C,SPAC1782.08C,0
SPAC10F6.02C,SPAC19G12.15C,1
SPAC10F6.02C,SPAC1D4.09C,0
SPAC10F6.02C,SPAC1F3.03,0
SPAC10F6.02C,SPAC227.03C,0
SPAC10F6.02C,SPAC22G7.07C,0
SPAC10F6.02C,SPAC2F3.08,0
SPAC10F6.02C,SPAC2F7.08C,0
SPAC10F6.02C,SPAC31A2.09C,0
SPAC10F6.02C,SPAC31G5.21,0
SPAC10F6.02C,SPAC343.11C,0
SPAC10F6.02C,SPAC3F10.02C,0
SPAC10F6.02C,SPAC5H10.06C,0
SPAC10F6.02C,SPAC694.04C,0
SPAC10F6.02C,SPAC824.09C,0
SPAC10F6.02C,SPAC9E9.09C,0
SPAC10F6.02C,SPBC13E7.03C,1
SPAC10F6.02C,SPBC13G1.08C,0
SPAC10F6.02C,SPBC16E9.14C,0
SPAC10F6.02C,SPBC16H5.12C,0
SPAC10F6.02C,SPBC2D10.04,1
SPAC10F6.02C,SPBC3D6.06C,1
SPAC10F6.02C,SPBC776.16,1
SPAC10F6.02C,SPBC8D2.17,1
SPAC10F6.02C,SPBP35G2.07,0
SPAC10F6.02C,SPBPB2B2.19C,0
SPAC10F6.02C,SPCC1020.12C,0
SPAC10F6.02C,SPCC16C4.20C,0
SPAC10F6.02C,SPCC584.11C,0
SPAC10F6.02C,SPCC622.12C,0
SPAC10F6.05C,SPAC1002.17C,0
SPAC10F6.05C,SPAC1142.01,0
SPAC10F6.05C,SPAC11E3.01C,1
SPAC10F6.05C,SPAC11E3.08C,1
SPAC10F6.05C,SPAC12B10.03,1
SPAC10F6.05C,SPAC13G6.10C,0
SPAC10F6.05C,SPAC14C4.11,0
SPAC10F6.05C,SPAC16A10.05C,1
SPAC10F6.05C,SPAC17C9.07,0
SPAC10F6.05C,SPAC17G6.13,0
SPAC10F6.05C,SPAC17H9.08,1
SPAC10F6.05C,SPAC17H9.10C,1
SPAC10F6.05C,SPAC1805.12C,1
SPAC10F6.05C,SPAC1834.05,0
SPAC10F6.05C,SPAC18B11.03C,1
SPAC10F6.05C,SPAC1952.02,0
SPAC10F6.05C,SPAC1952.06C,1
SPAC10F6.05C,SPAC1952.10C,1
SPAC10F6.05C,SPAC19A8.03,1
SPAC10F6.05C,SPAC1F3.06C,0
SPAC10F6.05C,SPAC227.06,0
SPAC10F6.05C,SPAC227.10,0
SPAC10F6.05C,SPAC227.13C,0
SPAC10F6.05C,SPAC23A1.03,1
SPAC10F6.05C,SPAC23A1.17,1
SPAC10F6.05C,SPAC23H3.05C,1
SPAC10F6.05C,SPAC24B11.12C,0
SPAC10F6.05C,SPAC24C9.12C,1
SPAC10F6.05C,SPAC26H5.09C,1
SPAC10F6.05C,SPAC29B12.04,0
SPAC10F6.05C,SPAC29E6.09,1
SPAC10F6.05C,SPAC2E1P5.03,0
SPAC10F6.05C,SPAC328.04,0
SPAC10F6.05C,SPAC3H8.03,0
SPAC10F6.05C,SPAC4D7.07C,1
SPAC10F6.05C,SPAC589.07C,1
SPAC10F6.05C,SPAC5H10.01,0
SPAC10F6.05C,SPAC5H10.07,1
SPAC10F6.05C,SPAC6F6.01,0
SPAC10F6.05C,SPAC6G10.08,0
SPAC10F6.05C,SPAC6G9.15C,0
SPAC10F6.05C,SPAC7D4.04,1
SPAC10F6.05C,SPAC823.14,0
SPAC10F6.05C,SPAC8C9.11,0
SPAC10F6.05C,SPAC926.06C,1
SPAC10F6.05C,SPAC9G1.02,1
SPAC10F6.05C,SPAPB2B4.02,0
SPAC10F6.05C,SPAPJ695.01C,1
SPAC10F6.05C,SPBC106.04,1
SPAC10F6.05C,SPBC1198.11C,0
SPAC10F6.05C,SPBC1271.14,0
SPAC10F6.05C,SPBC13G1.08C,1
SPAC10F6.05C,SPBC14F5.07,1
SPAC10F6.05C,SPBC16H5.11C,1
SPAC10F6.05C,SPBC16H5.12C,1
SPAC10F6.05C,SPBC1734.12C,0
SPAC10F6.05C,SPBC1773.01,1
SPAC10F6.05C,SPBC1773.06C,0
SPAC10F6.05C,SPBC1861.03,1
SPAC10F6.05C,SPBC18H10.11C,1
SPAC10F6.05C,SPBC216.04C,1
SPAC10F6.05C,SPBC21H7.06C,1
SPAC10F6.05C,SPBC26H8.09C,1
SPAC10F6.05C,SPBC27.06C,0
SPAC10F6.05C,SPBC29A10.05,1
SPAC10F6.05C,SPBC2A9.11C,1
SPAC10F6.05C,SPBC32F12.12C,1
SPAC10F6.05C,SPBC337.09,0
SPAC10F6.05C,SPBC365.01,0
SPAC10F6.05C,SPBC365.20C,1
SPAC10F6.05C,SPBC36B7.05C,0
SPAC10F6.05C,SPBC3B8.07C,1
SPAC10F6.05C,SPBC3H7.09,1
SPAC10F6.05C,SPBC428.12C,0
SPAC10F6.05C,SPBC4F6.10,1
SPAC10F6.05C,SPBC530.03C,0
SPAC10F6.05C,SPBC530.04,1
SPAC10F6.05C,SPBC577.06C,0
SPAC10F6.05C,SPBC651.12C,1
SPAC10F6.05C,SPBC691.05C,1
SPAC10F6.05C,SPBC83.02C,0
SPAC10F6.05C,SPBC83.16C,1
SPAC10F6.05C,SPBC887.04C,1
SPAC10F6.05C,SPBP19A11.02C,1
SPAC10F6.05C,SPBP26C9.02C,1
SPAC10F6.05C,SPBP4G3.03,1
SPAC10F6.05C,SPCC1020.06C,0
SPAC10F6.05C,SPCC1442.11C,1
SPAC10F6.05C,SPCC1442.17C,0
SPAC10F6.05C,SPCC1450.06C,1
SPAC10F6.05C,SPCC1450.12,1
SPAC10F6.05C,SPCC1672.06C,1
SPAC10F6.05C,SPCC16C4.01,0
SPAC10F6.05C,SPCC16C4.20C,1
SPAC10F6.05C,SPCC188.09C,1
SPAC10F6.05C,SPCC24B10.12,1
SPAC10F6.05C,SPCC285.04,1
SPAC10F6.05C,SPCC417.06C,1
SPAC10F6.05C,SPCC550.07,1
SPAC10F6.05C,SPCC550.12,1
SPAC10F6.05C,SPCC584.01C,1
SPAC10F6.05C,SPCC594.04C,1
SPAC10F6.05C,SPCC594.07C,1
SPAC10F6.05C,SPCC613.01,0
SPAC10F6.05C,SPCC63.06,1
SPAC10F6.05C,SPCC970.07C,1
SPAC10F6.05C,SPCP20C8.02C,1
SPAC10F6.05C,SPCPB16A4.04C,1
SPAC10F6.11C,SPAC1093.01,1
SPAC10F6.11C,SPAC12G12.07C,0
SPAC10F6.11C,SPAC1639.02C,0
SPAC10F6.11C,SPAC1782.07,1
SPAC10F6.11C,SPAC1782.08C,1
SPAC10F6.11C,SPAC17C9.12,0
SPAC10F6.11C,SPAC17G6.13,0
SPAC10F6.11C,SPAC17G8.14C,1
SPAC10F6.11C,SPAC17H9.10C,0
SPAC10F6.11C,SPAC17H9.13C,0
SPAC10F6.11C,SPAC1805.06C,1
SPAC10F6.11C,SPAC1805.08,1
SPAC10F6.11C,SPAC18B11.03C,0
SPAC10F6.11C,SPAC1952.03,0
SPAC10F6.11C,SPAC1952.05,1
SPAC10F6.11C,SPAC19A8.04,1
SPAC10F6.11C,SPAC19B12.08,0
SPAC10F6.11C,SPAC19G12.03,0
SPAC10F6.11C,SPAC19G12.16C,1
SPAC10F6.11C,SPAC1B3.05,1
SPAC10F6.11C,SPAC20G4.03C,0
SPAC10F6.11C,SPAC20H4.04,0
SPAC10F6.11C,SPAC20H4.07,0
SPAC10F6.11C,SPAC20H4.08,0
SPAC10F6.11C,SPAC212.01C,1
SPAC10F6.11C,SPAC212.04C,1
SPAC10F6.11C,SPAC227.03C,0
SPAC10F6.11C,SPAC227.04,0
SPAC10F6.11C,SPAC227.18,0
SPAC10F6.11C,SPAC22E12.11C,1
SPAC10F6.11C,SPAC23D3.09,1
SPAC10F6.11C,SPAC23E2.01,1
SPAC10F6.11C,SPAC23H3.05C,1
SPAC10F6.11C,SPAC23H3.11C,0
SPAC10F6.11C,SPAC26F1.10C,1
SPAC10F6.11C,SPAC27D7.11C,1
SPAC10F6.11C,SPAC27E2.04C,0
SPAC10F6.11C,SPAC27E2.07,0
SPAC10F6.11C,SPAC29B12.03,1
SPAC10F6.11C,SPAC29B12.10C,1
SPAC10F6.11C,SPAC29E6.09,0
SPAC10F6.11C,SPAC2C4.09,1
SPAC10F6.11C,SPAC2E1P5.03,0
SPAC10F6.11C,SPAC30.01C,1
SPAC10F6.11C,SPAC31G5.11,1
SPAC10F6.11C,SPAC328.04,0
SPAC10F6.11C,SPAC343.11C,0
SPAC10F6.11C,SPAC3G6.01,1
SPAC10F6.11C,SPAC3H8.09C,0
SPAC10F6.11C,SPAC5H10.06C,0
SPAC10F6.11C,SPAC630.10,0
SPAC10F6.11C,SPAC630.13C,0
SPAC10F6.11C,SPAC631.02,1
SPAC10F6.11C,SPAC637.07,1
SPAC10F6.11C,SPAC688.14,1
SPAC10F6.11C,SPAC6G10.08,1
SPAC10F6.11C,SPAC750.01,1
SPAC10F6.11C,SPAC823.13C,0
SPAC10F6.11C,SPAC869.11,1
SPAC10F6.11C,SPAC8C9.16C,1
SPAC10F6.11C,SPAC9G1.02,0
SPAC10F6.11C,SPBC106.01,1
SPAC10F6.11C,SPBC1198.11C,1
SPAC10F6.11C,SPBC1539.08,0
SPAC10F6.11C,SPBC15D4.15,0
SPAC10F6.11C,SPBC16A3.01,1
SPAC10F6.11C,SPBC16E9.14C,0
SPAC10F6.11C,SPBC16G5.02C,1
SPAC10F6.11C,SPBC1709.01,0
SPAC10F6.11C,SPBC1734.12C,0
SPAC10F6.11C,SPBC1773.14,0
SPAC10F6.11C,SPBC1773.16C,0
SPAC10F6.11C,SPBC1773.17C,1
SPAC10F6.11C,SPBC1778.05C,1
SPAC10F6.11C,SPBC18H10.18C,1
SPAC10F6.11C,SPBC19F8.04C,0
SPAC10F6.11C,SPBC1D7.03,1
SPAC10F6.11C,SPBC216.04C,0
SPAC10F6.11C,SPBC21B10.08C,1
SPAC10F6.11C,SPBC21D10.10,1
SPAC10F6.11C,SPBC23E6.10C,0
SPAC10F6.11C,SPBC25B2.03,0
SPAC10F6.11C,SPBC25B2.06C,0
SPAC10F6.11C,SPBC25B2.10,1
SPAC10F6.11C,SPBC26H8.03,1
SPAC10F6.11C,SPBC27.04,1
SPAC10F6.11C,SPBC28E12.02,1
SPAC10F6.11C,SPBC2D10.14C,0
SPAC10F6.11C,SPBC2F12.09C,1
SPAC10F6.11C,SPBC2G2.13C,1
SPAC10F6.11C,SPBC30D10.03C,0
SPAC10F6.11C,SPBC32H8.07,1
SPAC10F6.11C,SPBC337.03,1
SPAC10F6.11C,SPBC337.09,1
SPAC10F6.11C,SPBC36.11,1
SPAC10F6.11C,SPBC365.16,1
SPAC10F6.11C,SPBC36B7.03,0
SPAC10F6.11C,SPBC3B8.10C,0
SPAC10F6.11C,SPBC3E7.12C,0
SPAC10F6.11C,SPBC3H7.09,1
SPAC10F6.11C,SPBC3H7.13,1
SPAC10F6.11C,SPBC428.02C,0
SPAC10F6.11C,SPBC428.08C,1
SPAC10F6.11C,SPBC4F6.04,1
SPAC10F6.11C,SPBC4F6.16C,0
SPAC10F6.11C,SPBC56F2.08C,0
SPAC10F6.11C,SPBC660.14,1
SPAC10F6.11C,SPBC83.02C,0
SPAC10F6.11C,SPBC839.17C,0
SPAC10F6.11C,SPBC887.04C,0
SPAC10F6.11C,SPBP26C9.02C,0
SPAC10F6.11C,SPBP35G2.07,0
SPAC10F6.11C,SPBP35G2.14,1
SPAC10F6.11C,SPBP8B7.10C,1
SPAC10F6.11C,SPBPB10D8.01,1
SPAC10F6.11C,SPCC1183.11,1
SPAC10F6.11C,SPCC1259.03,1
SPAC10F6.11C,SPCC1442.17C,0
SPAC10F6.11C,SPCC1450.05C,0
SPAC10F6.11C,SPCC16C4.10,1
SPAC10F6.11C,SPCC1739.10,1
SPAC10F6.11C,SPCC1739.15,1
SPAC10F6.11C,SPCC1753.02C,1
SPAC10F6.11C,SPCC1840.08C,1
SPAC10F6.11C,SPCC18B5.06,1
SPAC10F6.11C,SPCC191.11,1
SPAC10F6.11C,SPCC24B10.13,1
SPAC10F6.11C,SPCC24B10.18,1
SPAC10F6.11C,SPCC285.17,1
SPAC10F6.11C,SPCC306.11,0
SPAC10F6.11C,SPCC417.07C,0
SPAC10F6.11C,SPCC417.11C,0
SPAC10F6.11C,SPCC4B3.02C,1
SPAC10F6.11C,SPCC594.04C,1
SPAC10F6.11C,SPCC777.17C,1
SPAC10F6.11C,SPCC970.07C,0
SPAC10F6.11C,SPCPB1C11.01,1
SPAC10F6.14C,SPAC1006.06,1
SPAC10F6.14C,SPAC11E3.01C,0
